0.0,  0.0,  -0.0945695,  -0.2178690,  12.3910017,  -2.0426828,  0.5487805,  12.8658542,  30.12
10.0,  10.0,  -0.0897812,  -0.2094894,  12.3766365,  -2.7743902,  0.0304878,  1.0365853,  30.14
21.0,  11.0,  -0.0849929,  -0.2262486,  12.3862133,  -2.9573171,  -0.0304878,  0.1219512,  30.13
30.0,  9.0,  -0.0706279,  -0.2202632,  12.3203735,  -2.8658537,  -0.0304878,  0.0609756,  30.14
40.0,  10.0,  -0.1268907,  -0.2298398,  12.3766365,  -2.8048780,  -0.0304878,  0.0609756,  30.11
50.0,  10.0,  -0.1089345,  -0.1975186,  12.3969869,  -2.8353660,  -0.0304878,  0.0304878,  30.12
61.0,  11.0,  -0.0921754,  -0.2178690,  12.3562860,  -2.8353660,  0.0000000,  0.1219512,  30.14
70.0,  9.0,  -0.0957666,  -0.2106865,  12.4065637,  -2.8353660,  -0.0914634,  0.0304878,  30.13
80.0,  10.0,  -0.1041462,  -0.2310369,  12.3455123,  -2.8353660,  0.0304878,  0.0609756,  30.13
90.0,  10.0,  -0.0814016,  -0.2346282,  12.3503007,  -2.8353660,  0.0000000,  0.0609756,  30.14
100.0,  10.0,  -0.0885841,  -0.2130807,  12.3945932,  -2.8658537,  0.0000000,  0.0304878,  30.14
110.0,  10.0,  -0.0790075,  -0.2106865,  12.4053668,  -2.8963415,  -0.0304878,  0.0304878,  30.13
120.0,  10.0,  -0.0718250,  -0.1987157,  12.3526954,  -2.8658537,  0.0304878,  0.1524390,  30.14
130.0,  10.0,  -0.0837958,  -0.2142778,  12.4065637,  -2.8963415,  0.0000000,  0.0914634,  30.14
141.0,  11.0,  -0.0921754,  -0.2106865,  12.4101552,  -2.8658537,  -0.0914634,  0.0914634,  30.14
150.0,  9.0,  -0.0945695,  -0.2190661,  12.3981838,  -2.8963415,  -0.0304878,  0.0609756,  30.13
160.0,  10.0,  -0.0825987,  -0.2370223,  12.3945932,  -2.8658537,  0.0609756,  0.0304878,  30.15
170.0,  10.0,  -0.1221024,  -0.2118836,  12.3874101,  -2.8963415,  0.0304878,  0.0304878,  30.14
180.0,  10.0,  -0.1065404,  -0.2322340,  12.3874101,  -2.8658537,  -0.0304878,  0.0609756,  30.12
191.0,  11.0,  -0.1065404,  -0.2322340,  12.3754396,  -2.8353660,  0.0000000,  0.1219512,  30.14
200.0,  9.0,  -0.0945695,  -0.2226573,  12.3706512,  -2.8658537,  0.0000000,  0.0914634,  30.16
210.0,  10.0,  -0.1173141,  -0.2238544,  12.3526954,  -2.8963415,  0.0304878,  0.1219512,  30.15
220.0,  10.0,  -0.0981608,  -0.1891390,  12.3838195,  -2.9268293,  -0.0304878,  0.0304878,  30.17
231.0,  11.0,  -0.0885841,  -0.2082924,  12.3670597,  -2.8963415,  0.0304878,  0.0609756,  30.15
240.0,  9.0,  -0.0921754,  -0.2202632,  12.3886079,  -2.8658537,  0.0304878,  0.0914634,  30.17
250.0,  10.0,  -0.1041462,  -0.2298398,  12.3718481,  -2.8353660,  -0.0304878,  0.0609756,  30.13
260.0,  10.0,  -0.1029491,  -0.2573728,  12.3562860,  -2.8048780,  0.0914634,  0.0609756,  30.16
271.0,  11.0,  -0.0718250,  -0.2238544,  12.3862133,  -2.8658537,  0.1219512,  0.0609756,  30.17
281.0,  10.0,  -0.1029491,  -0.2094894,  12.3802280,  -2.8353660,  0.0000000,  0.1219512,  30.17
290.0,  9.0,  -0.0873870,  -0.2142778,  12.3718481,  -2.8353660,  0.0304878,  0.0914634,  30.17
300.0,  10.0,  -0.0909783,  -0.2286428,  12.3658628,  -2.8353660,  0.0304878,  0.0914634,  30.15
310.0,  10.0,  -0.0933724,  -0.2286428,  12.4113521,  -2.8048780,  -0.0609756,  0.0609756,  30.20
321.0,  11.0,  -0.0969637,  -0.1987157,  12.3526954,  -2.8353660,  -0.0304878,  0.1219512,  30.18
331.0,  10.0,  -0.1041462,  -0.2118836,  12.3598775,  -2.8658537,  0.0304878,  0.1219512,  30.15
341.0,  10.0,  -0.0706279,  -0.2382194,  12.3658628,  -2.8353660,  0.0304878,  0.0914634,  30.17
350.0,  9.0,  -0.1089345,  -0.2250515,  12.3538923,  -2.8048780,  0.0000000,  0.0304878,  30.17
361.0,  11.0,  -0.0706279,  -0.2298398,  12.3742427,  -2.7743902,  -0.0304878,  0.0304878,  30.17
371.0,  10.0,  -0.0921754,  -0.2035040,  12.3670597,  -2.8048780,  0.0000000,  0.0609756,  30.18
381.0,  10.0,  -0.0897812,  -0.2358253,  12.3862133,  -2.8353660,  0.0304878,  0.1219512,  30.18
390.0,  9.0,  -0.1244966,  -0.1783653,  12.3574838,  -2.8658537,  0.0000000,  0.0304878,  30.19
401.0,  11.0,  -0.0622483,  -0.2465990,  12.3730459,  -2.8353660,  0.0304878,  0.1524390,  30.14
411.0,  10.0,  -0.0861899,  -0.2358253,  12.3754396,  -2.8658537,  -0.0609756,  0.1524390,  30.16
421.0,  10.0,  -0.0754162,  -0.2166719,  12.3730459,  -2.8963415,  0.0304878,  0.0914634,  30.16
431.0,  10.0,  -0.0945695,  -0.2693436,  12.3658628,  -2.8963415,  0.0000000,  0.0914634,  30.18
441.0,  10.0,  -0.0933724,  -0.2106865,  12.3910017,  -2.8658537,  0.0609756,  0.0304878,  30.18
